,start_station_id,boro_name
696,4623.02,Brooklyn
697,7059.08,Manhattan
698,4546.05,Brooklyn
699,7456.03,Manhattan
700,4812.02,Brooklyn
701,4479.08,Brooklyn
702,7735.05,Manhattan
703,8065.13,Manhattan
704,7450.05,Manhattan
705,6569.07,Manhattan
706,7288.04,Manhattan
707,7738.04,Manhattan
708,3762.08,Brooklyn
709,4587.02,Brooklyn
710,7803.08,Bronx
711,4668.08,Brooklyn
712,8000.02,Bronx
713,7883.09,Bronx
714,6560.01,Manhattan
715,4735.03,Brooklyn
716,4748.07,Brooklyn
717,7580.01,Manhattan
718,4628.05,Brooklyn
719,7870.02,Bronx
720,8020.01,Bronx
721,7180.02,Manhattan
722,4470.09,Brooklyn
723,5561.06,Manhattan
724,7959.18,Manhattan
725,5545.01,Manhattan
726,7726.02,Bronx
727,6379.03,Manhattan
728,6303.01,Manhattan
729,7563.06,Manhattan
730,7851.04,Manhattan
731,5074.08,Queens
732,3507.04,Brooklyn
733,8179.03,Bronx
734,7898.03,Manhattan
735,7948.1,Bronx
736,6676.02,Manhattan
737,4010.01,Brooklyn
738,4033.06,Brooklyn
739,4386.05,Brooklyn
740,4441.06,Brooklyn
741,8425.01,Bronx
742,7655.22,Manhattan
743,7722.06,Bronx
744,5207.01,Manhattan
745,4157.15,Brooklyn
746,5359.11,Manhattan
747,8546.06,Bronx
748,5178.06,Brooklyn
749,8407.03,Bronx
750,3460.04,Brooklyn
751,7840.11,Bronx
752,7293.1,Manhattan
753,7716.19,Manhattan
754,7767.06,Bronx
755,7528.31,Manhattan
756,5450.04,Brooklyn
757,3306.03,Brooklyn
758,8416.1,Manhattan
759,3865.05,Brooklyn
760,7625.18,Manhattan
761,4861.05,Brooklyn
762,6740.01,Manhattan
763,3996.01,Brooklyn
764,8160.03,Bronx
765,7872.03,Manhattan
766,4895.03,Brooklyn
767,7670.09,Manhattan
768,7432.09,Manhattan
769,5755.09,Manhattan
770,4821.1,Brooklyn
771,7832.04,Manhattan
772,3394.03,Brooklyn
773,4762.05,Brooklyn
774,7463.09,Manhattan
775,6164.09,Manhattan
776,7092.06,Manhattan
777,4446.01,Brooklyn
778,5106.04,Queens
779,6450.12,Manhattan
780,7304.08,Manhattan
781,3620.02,Brooklyn
782,8072.06,Bronx
783,5623.03,Brooklyn
784,7541.01,Manhattan
785,7253.04,Manhattan
786,7432.04,Manhattan
787,7623.13,Manhattan
788,6306.01,Manhattan
789,5225.02,Queens
790,3347.03,Brooklyn
791,7756.1,Manhattan
792,4903.09,Brooklyn
793,7809.13,Manhattan
794,6953.08,Manhattan
795,4010.13,Brooklyn
796,6157.04,Manhattan
797,7149.05,Manhattan
798,6659.01,Manhattan
799,4821.03,Brooklyn
800,4637.06,Brooklyn
801,7121.05,Manhattan
802,4710.06,Brooklyn
803,7748.02,Manhattan
804,8366.07,Bronx
805,6948.1,Manhattan
806,6925.09,Manhattan
807,6717.06,Manhattan
808,4550.05,Brooklyn
809,5593.04,Manhattan
810,7123.04,Manhattan
811,3919.07,Brooklyn
812,7795.09,Manhattan
813,5024.09,Manhattan
814,7719.13,Bronx
815,6847.02,Manhattan
816,3803.09,Brooklyn
817,7360.1,Manhattan
818,4663.02,Brooklyn
819,7365.08,Manhattan
820,7712.06,Bronx
821,4596.05,Brooklyn
822,6331.01,Manhattan
823,4939.07,Brooklyn
824,6115.09,Manhattan
825,5145.02,Manhattan
826,7161.08,Manhattan
827,8353.09,Manhattan
828,7634.01,Manhattan
829,6854.05,Manhattan
830,4804.02,Brooklyn
831,4707.04,Brooklyn
832,6441.01,Manhattan
833,6816.07,Manhattan
834,3523.06,Brooklyn
835,6089.07,Manhattan
836,8582.02,Bronx
837,4689.03,Brooklyn
838,8049.05,Manhattan
839,3928.08,Brooklyn
840,7443.17,Manhattan
841,7744.06,Bronx
842,5374.01,Manhattan
843,8472.08,Bronx
844,4713.01,Brooklyn
845,4184.07,Brooklyn
846,4677.01,Brooklyn
847,5523.02,Manhattan
848,4707.03,Brooklyn
849,4225.14,Brooklyn
850,6064.08,Manhattan
851,7879.01,Bronx
852,8077.07,Bronx
853,8013.07,Manhattan
854,4208.01,Brooklyn
855,6551.02,Manhattan
856,4936.01,Brooklyn
857,4452.03,Brooklyn
858,7927.08,Bronx
859,7511.19,Manhattan
860,5082.08,Brooklyn
861,6517.08,Manhattan
862,8114.02,Bronx
863,7745.07,Manhattan
864,5532.01,Manhattan
