,start_station_id,start_lat,start_lng
288507,8183.08,40.83670566862804,-73.92608866095543
288590,2932.01,40.638799,-74.027472
288638,8218.04,40.839142,-73.925961
288775,8458.03,40.855331,-73.937878
289090,7970.05,40.822545,-73.901824
289341,7842.16,40.816355,-73.954295
290632,8052.02,40.82809,-73.91288
294839,7751.05,40.811314,-73.907729
295207,6996.01,40.7703743,-73.9286078
295341,8236.01,40.841092,-73.892317
295416,5854.1,40.732339777151054,-73.97898383438587
295439,8667.01,40.86945,-73.89148
295474,6966.04,40.7682,-73.9322662
295788,8110.04,40.832649,-73.885272
296054,2961.05,40.640125,-74.015726
296404,6836.07,40.7638753,-73.9364848
296731,5273.01,40.71401,-73.92793
296918,6566.01,40.75370225419114,-73.95865201950072
297534,4374.01,40.68512559515415,-74.02535319328308
297614,8129.02,40.834124,-73.88955
299031,3090.06,40.642809,-73.979239
300080,8483.02,40.855156,-73.91278
301367,8738.01,40.87387,-73.89533
301726,8646.02,40.86814,-73.88145
302318,8647.07,40.8676583895191,-73.91675725579262
302883,3129.08,40.643371,-74.011884
303306,8639.01,40.866899,-73.901942
303639,8048.04,40.828199,-73.903719
303799,8535.09,40.8604787,-73.9057169936
304594,8462.09,40.85501,-73.910751
304861,8717.07,40.87207,-73.88459
306014,8064.03,40.82995,-73.898802
306210,8381.04,40.85168,-73.94186
308633,7032.06,40.772092,-73.895166
308848,8748.02,40.8740704,-73.8833650931
308899,8571.02,40.86288,-73.90316
310609,8550.01,40.860814,-73.902541
310813,8631.03,40.867,-73.8857764
311255,2951.05,40.639673,-74.008957
311704,8795.03,40.877964,-73.8847550291
312963,8635.08,40.86767,-73.89286
313851,4013.08,40.6747055,-74.0075572
314750,7210.07,40.778557,-73.919046
315498,8362.09,40.850121,-73.910765
317577,2782.02,40.635679,-74.020005
317761,2912.08,40.638196,-74.013821
318372,8590.01,40.86295,-73.90741
319936,2923.01,40.639859,-74.019776
322847,7844.05,40.816126,-73.891559
326448,6964.05,40.76817,-73.896293
326883,7060.02,40.770888,-73.889914
332712,6927.03,40.768442,-73.893531
332727,7170.04,40.776745,-73.906558
334158,8209.01,40.83899,-73.9109
345031,8615.01,40.86648,-73.89042
347805,8435.06,40.853929,-73.898385
348427,8245.03,40.842675,-73.908544
363149,7867.04,40.818185,-73.894143
363669,8703.05,40.87142,-73.88839
366102,8494.06,40.8558,-73.89956
396513,7132.08,40.77485,-73.9342
403621,8539.02,40.859532,-73.913303
635056,8696.05,40.871094,-73.911503
758678,7613.04,40.800425,-73.911034
1052568,5230.02,40.71332151208186,-73.99009689688683
1052730,5024.1,40.706410755236135,-74.00559738278389
1053500,6089.11,40.74069317733043,-73.98160636425018
1053502,5886.13,40.733208626522426,-73.9756813647
1054065,5971.09,40.73716919369882,-73.98122549057007
1058710,7845.06,40.816576,-73.927987
1060500,5805.07,40.73213896287381,-74.00363802909851
1063409,5343.11,40.717318403855785,-73.99067759513855
1064666,6611.05,40.75630628938069,-73.99951145061095
1065874,7482.15,40.790586067792006,-73.94195795059204
1085811,5430.1,40.7197920901383,-74.0052238852195
1092522,3038.08,40.642501,-74.006055
1148665,5453.06,40.72054,-73.9949
1190199,6373.07,40.74965268472847,-73.9952078461647
1217084,8428.04,40.853827,-73.920765
1352794,5779.11,40.73031071000895,-73.98047178983688
1352879,5703.13,40.72854745023944,-73.98175925016403
2085800,6809.07,40.76340613,-73.97722479
2291217,5021.05,40.706563674670925,-73.9683187007904
2314408,7256.01,40.78001336610564,-73.90667617321014
2331757,7940.04,40.82123860172,-73.9173299074173
2342820,8435.04,40.854123869116,-73.89932222664356
2412591,8469.05,40.85589030603889,-73.92708241939545
4179635,6884.03,40.765959181657976,-73.98313522338867
4179718,7538.18,40.79249519495111,-73.96417066463071
4180077,5368.03,40.71759894980997,-74.01587963104248
4180104,6098.12,40.73866091428551,-73.98987293243407
4180347,5351.07,40.717411,-73.999573
4181444,7121.02,40.77391390238118,-73.9543953537941
4181543,6474.02,40.752269,-73.982079
4181681,6526.01,40.752762088742045,-73.99280458705107
4187295,7587.16,40.79752078124756,-73.9489397406578
4214657,4962.02,40.70366170524135,-74.0131813287735
6499972,7034.08,40.77174859010057,-73.9316126704216
6500549,7344.05,40.7835016,-73.955327
6502197,3660.07,40.66093779493168,-73.98680448532104
6503207,5329.08,40.715001345,-74.012404084
6505327,4920.13,40.70188858913366,-74.01089876890182
6507849,5470.02,40.71996118117138,-74.00844320654869
6593816,8494.01,40.85670801831255,-73.90265285968779
9439876,7803.02,40.81263616769319,-73.92924964427948
9440221,6560.14,40.754818,-73.988154
9440758,2932.03,40.639421,-74.026823
9440924,6224.06,40.74591072834279,-73.99807110428809
9441573,6492.04,40.75377336836039,-73.99937599897385
9443899,6398.08,40.74848023448579,-73.98255586624146
9468101,6185.04,40.74283,-73.9321
9494161,6334.03,40.7471482490328,-73.92902433872223
9530813,5917.02,40.73565914819229,-73.93478840589523
9558995,6110.01,40.740821207823245,-73.93147185444832
9591823,5883.06,40.73443564069459,-73.93790781497955
9594296,5992.02,40.737860084,-73.930250883
9743106,5323.06,40.71534162042448,-73.93865078687668
9746859,5896.01,40.73431166276575,-73.98372530937195
9751699,6143.01,40.74221834996096,-73.92935156822205
9760662,6260.04,40.744106889,-73.929055929
9768082,8647.1,40.86709406268147,-73.9172950387001
9771059,7034.09,40.77171710520828,-73.93159255385399
9775512,6300.04,40.746558547,-73.932311654
9778047,6001.01,40.73866345465306,-73.94093804061413
9797686,8432.11,40.85318758861975,-73.92715752124786
9887274,6033.01,40.74021356884924,-73.93537044525146
12872791,6242.1,40.74451,-73.91412
12872873,6092.01,40.74086,-73.91708
12872879,6016.06,40.73737,-73.91803
12873222,5983.04,40.73787237950538,-73.92264068126678
12873407,6283.05,40.74622874694195,-73.91616314649582
12873578,6251.06,40.745317936,-73.921915412
12873636,6158.02,40.74193,-73.90913
12881134,6209.05,40.7448062877224,-73.91728967428207
12884781,6316.05,40.74732,-73.91197
12913023,6176.11,40.743540273428685,-73.92435193061829
12914122,6502.01,40.753177881,-73.905869246
12957076,6101.11,40.73985995699164,-73.92400324344635
12960200,6134.13,40.74110508,-73.921078563
12977962,6167.03,40.7429,-73.91395
13020837,6200.03,40.744588375,-73.911557913
13066105,8559.04,40.86169883507865,-73.91855701804161
13162986,6292.03,40.74562,-73.92402
13323202,6134.03,40.7424,-73.91808
13325394,6349.03,40.74838,-73.90699
13334982,6025.08,40.73824937345944,-73.92737478017807
13403357,6276.05,40.745419979,-73.909837604
14250216,6158.06,40.743102908,-73.908165455
14251587,6435.03,40.750097682094825,-73.91349703073502
14252120,6325.01,40.74692675687384,-73.9208248257637
14259819,6143.05,40.74215636827728,-73.92662644386292
14260037,6358.05,40.749936223,-73.915373087
14265514,6209.08,40.743573666,-73.918662906
14265603,6218.04,40.74431,-73.92601
14266461,5096.12,40.7075188830923,-74.00108054280281
14266924,6058.08,40.73941387498411,-73.92131969332695
14269314,6067.01,40.74034668087185,-73.92886072397232
14286280,6392.02,40.74891,-73.90899
14419023,6468.01,40.75098,-73.90799
16374622,6191.06,40.74501,-73.9036
16383341,6234.04,40.74521,-73.90462
16387000,6569.1,40.75561113529378,-73.99373665452003
16391667,6426.05,40.75048,-73.90513
16408592,6276.02,40.74679,-73.90893
16485737,6422.08,40.75022392,-73.97121414
16501317,6401.03,40.74947822183477,-73.91826465725897
16629341,6234.03,40.74549,-73.90605
16640073,8076.08,40.830364704,-73.886128306
16712698,4199.13,40.67911856082165,-73.97176265716553
16771840,6307.07,40.7471,-73.9028
18419671,6076.02,40.7413272,-73.937999
20051476,5359.13,40.71688538495366,-74.00650128722191
20052453,6107.08,40.740687013,-73.998718858
20056366,5164.05,40.71036129922581,-73.96530389785767
20056675,6108.03,40.74179,-73.89564
20056720,6149.02,40.743324757,-73.899063587
20074395,6116.03,40.740975976,-73.902722597
20075495,6013.12,40.73795,-73.98509
20076251,3460.05,40.748069167,-73.97443378
20078974,4648.03,40.6938,-73.93114
20085347,6786.02,40.76153045158114,-73.99007007479668
20105450,6460.06,40.75201,-73.89986
20108778,4543.07,40.689988494,-73.93656683
20110091,5998.09,40.7388,-73.90338
20124893,6267.08,40.74589,-73.89915
20149336,8428.05,40.853075027,-73.918337703
20150629,6258.03,40.744786263,-73.893819094
20184107,4582.08,40.690434,-73.903737
20246674,4458.06,40.68834,-73.93306
20264033,3019.03,40.64243139706092,-74.0255355834961
20277073,6417.04,40.75053,-73.8977
20472291,6417.11,40.7493722738996,-73.89738768339157
20607041,6191.04,40.74261,-73.903
20610666,6340.09,40.74893,-73.89981
20978919,6183.03,40.7428,-73.89584
21205059,6225.03,40.74446,-73.89764
21253020,2821.05,40.635468602,-74.013102531
21253229,7942.07,40.821729422,-73.95364213
21253807,5636.13,40.724737883,-73.991901875
21253868,6383.02,40.74958,-73.90256
21841376,6141.02,40.742961884,-73.892902732
21842329,4895.15,40.70140463410644,-73.98768022656441
22441398,4467.03,40.686722,-73.938988
23559039,5772.07,40.731421,-74.01078
23559177,4416.1,40.68713,-73.93008
23559336,4479.1,40.688735127,-73.985372543
23559411,5105.01,40.70905623,-74.01043382
23559550,4228.06,40.680475473,-73.92823422
23561136,4138.04,40.678655028,-73.913730383
23561656,4212.01,40.680094123,-73.911557317
23563140,6617.02,40.75763227739443,-73.96930575370789
23563927,4383.06,40.68454,-73.9322
23563942,4450.06,40.68705,-73.92338
23567002,4556.08,40.69068758614303,-73.98347854614258
23568561,4565.07,40.6910363748993,-73.99201065301895
23572212,4196.05,40.68012,-73.93168
23587593,4334.02,40.684915662,-73.922751307
